compensation_component,civilian_cost,civilian_pct,private_cost,private_pct,stategov_cost,stategov_pct
Totalcompensation2,48.78,100.0,46.15,100.0,65.68,100.0
Wagesandsalaries,33.45,68.6,32.36,70.1,40.49,61.7
Totalbenefits,15.33,31.4,13.79,29.9,25.19,38.3
Paidleave,3.70,7.6,3.52,7.6,4.84,7.4
Vacation,1.76,3.6,1.75,3.8,1.80,2.7
Holiday,1.08,2.2,1.04,2.2,1.40,2.1
Sick,0.60,1.2,0.50,1.1,1.24,1.9
Personal,0.25,0.5,0.23,0.5,0.40,0.6
Supplementalpay,1.71,3.5,1.87,4.1,0.69,1.0
Overtimeandpremium3,0.42,0.9,0.43,0.9,0.33,0.5
Shiftdifferentials,0.09,0.2,0.10,0.2,0.07,0.1
Nonproductionbonuses,1.20,2.5,1.34,2.9,0.29,0.4
Insurance,4.04,8.3,3.51,7.6,7.49,11.4
Life,0.06,0.1,0.05,0.1,0.08,0.1
Health,3.84,7.9,3.30,7.1,7.31,11.1
Short-termdisability,0.09,0.2,0.10,0.2,0.04,0.1
Long-termdisability,0.05,0.1,0.05,0.1,0.06,0.1
Retirementandsavings,2.52,5.2,1.55,3.4,8.69,13.2
Definedbenefit,1.43,2.9,0.39,0.9,8.08,12.3
Definedcontribution,1.09,2.2,1.16,2.5,0.61,0.9
LegallyRequiredbenefits,3.36,6.9,3.34,7.2,3.48,5.3
SocialSecurityandMedicare,2.75,5.6,2.75,6.0,2.78,4.2
SocialSecurity4,2.19,4.5,2.21,4.8,2.12,3.2
Medicare,0.56,1.1,0.54,1.2,0.67,1.0
Federalunemploymentinsurance........................ 0.02 0.1 0.03 0.1 –5 –6 Stateunemploymentinsurance,0.13,0.3,0.14,0.3,0.06,0.1
Workers’compensation,0.45,0.9,0.42,0.9,0.64,1.0
