area,total_rank,total_le_at_birth,total_se,male_rank,male_le_at_birth,male_se,female_rank,female_le_at_birth,female_se
Hawaii,1,80.0,0.120,3,77.1,0.174,1,83.0,0.160
Massachusetts,2,79.8,0.050,1,77.4,0.074,2,82.2,0.065
New Jersey,3,79.6,0.044,4,77.1,0.064,6,82.0,0.057
New York,4,79.5,0.031,6,76.9,0.045,3,82.1,0.041
Connecticut,5,79.4,0.073,7,76.8,0.108,5,82.1,0.094
California,6,79.3,0.022,8,76.7,0.032,4,82.1,0.029
Minnesota,7,79.3,0.058,5,77.0,0.084,8,81.6,0.078
Rhode Island,8,79.2,0.129,9,76.6,0.192,7,81.8,0.163
Utah,9,79.0,0.076,2,77.3,0.111,12,80.9,0.102
New Hampshire,10,78.7,0.115,10,76.5,0.169,9,81.0,0.150
Colorado,11,78.5,0.059,13,76.1,0.086,10,81.0,0.079
Idaho,12,78.4,0.100,11,76.4,0.145,18,80.6,0.136
Washington,13,78.4,0.050,12,76.1,0.072,11,80.9,0.067
Nebraska,14,78.3,0.101,14,76.0,0.144,16,80.7,0.136
Vermont,15,78.3,0.182,15,75.8,0.260,13,80.8,0.250
Wisconsin,16,78.1,0.059,16,75.7,0.086,17,80.7,0.079
North Dakota,17,77.9,0.170,18,75.4,0.240,14,80.8,0.230
Iowa,18,77.9,0.078,17,75.6,0.112,20,80.4,0.106
Florida,19,77.9,0.032,20,75.2,0.046,15,80.7,0.042
Maryland,20,77.8,0.059,22,75.1,0.086,19,80.5,0.077
Oregon,21,77.7,0.069,21,75.2,0.101,21,80.4,0.091
Illinois,22,77.5,0.041,24,74.9,0.059,22,80.3,0.054
United States,,77.5,,,74.8,,,80.2,
Virginia,23,77.5,0.049,23,75.0,0.070,25,79.9,0.065
Pennsylvania,24,77.3,0.040,26,74.7,0.058,24,79.9,0.054
South Dakota,25,77.3,0.162,19,75.2,0.228,30,79.5,0.227
Montana,26,77.3,0.142,25,74.9,0.205,23,80.0,0.190
Texas,27,77.1,0.026,28,74.6,0.038,27,79.8,0.035
Wyoming,28,76.8,0.194,27,74.6,0.280,32,79.3,0.261
Michigan,29,76.8,0.046,29,74.3,0.067,33,79.3,0.062
Arizona,30,76.7,0.056,33,73.7,0.082,26,79.9,0.074
Maine,31,76.6,0.130,32,73.9,0.190,29,79.6,0.172
District of Columbia,32,76.6,0.189,36,73.3,0.275,28,79.6,0.252
Delaware,33,76.5,0.152,35,73.6,0.225,31,79.5,0.198
Kansas,34,76.5,0.085,30,74.1,0.123,35,78.9,0.115
Nevada,35,76.4,0.08,31,74.0,0.115,34,79.1,0.108
Georgia,36,75.9,0.045,37,73.1,0.066,37,78.6,0.059
North Carolina,37,75.9,0.046,38,73.0,0.067,36,78.7,0.061
Alaska,38,75.8,0.181,34,73.7,0.255,39,78.3,0.249
Ohio,39,75.6,0.043,39,73.0,0.063,38,78.3,0.058
Indiana,40,75.4,0.057,40,72.7,0.083,40,78.2,0.077
Missouri,41,75.2,0.061,41,72.5,0.088,43,78.1,0.081
South Carolina,42,75.1,0.067,42,72.2,0.098,41,78.1,0.088
New Mexico,43,74.5,0.112,45,71.2,0.162,42,78.1,0.147
Arkansas,44,73.9,0.087,43,71.3,0.124,47,76.6,0.118
Oklahoma,45,73.8,0.074,44,71.3,0.106,48,76.5,0.101
Tennessee,46,73.8,0.057,47,70.9,0.083,46,76.9,0.075
Alabama,47,73.8,0.067,48,70.8,0.099,45,77.0,0.089
Louisiana,48,73.8,0.073,49,70.6,0.106,44,77.2,0.096
Kentucky,49,73.6,0.070,46,71.1,0.100,49,76.2,0.094
Mississippi,50,72.6,0.091,51,69.5,0.133,50,75.7,0.121
West Virginia,51,72.2,0.117,50,69.5,0.167,51,75.1,0.159
