measure,range,horizon,mean_probability
core_cpi,4.0 PERCENT OR MORE,25Q4_to_26Q4,1.83
core_cpi,4.0 PERCENT OR MORE,26Q4_to_27Q4,2.57
core_cpi,3.5 TO 3.9 PERCENT,25Q4_to_26Q4,4.96
core_cpi,3.5 TO 3.9 PERCENT,26Q4_to_27Q4,4.77
core_cpi,3.0 TO 3.4 PERCENT,25Q4_to_26Q4,17.85
core_cpi,3.0 TO 3.4 PERCENT,26Q4_to_27Q4,14.01
core_cpi,2.5 TO 2.9 PERCENT,25Q4_to_26Q4,37.66
core_cpi,2.5 TO 2.9 PERCENT,26Q4_to_27Q4,31.34
core_cpi,2.0 TO 2.4 PERCENT,25Q4_to_26Q4,27.83
core_cpi,2.0 TO 2.4 PERCENT,26Q4_to_27Q4,34.02
core_cpi,1.5 TO 1.9 PERCENT,25Q4_to_26Q4,7.97
core_cpi,1.5 TO 1.9 PERCENT,26Q4_to_27Q4,10.13
core_cpi,1.0 TO 1.4 PERCENT,25Q4_to_26Q4,1.41
core_cpi,1.0 TO 1.4 PERCENT,26Q4_to_27Q4,2.07
core_cpi,0.5 TO 0.9 PERCENT,25Q4_to_26Q4,0.29
core_cpi,0.5 TO 0.9 PERCENT,26Q4_to_27Q4,0.63
core_cpi,0.0 TO 0.4 PERCENT,25Q4_to_26Q4,0.11
core_cpi,0.0 TO 0.4 PERCENT,26Q4_to_27Q4,0.30
core_cpi,LESS THAN 0.0 PERCENT,25Q4_to_26Q4,0.08
core_cpi,LESS THAN 0.0 PERCENT,26Q4_to_27Q4,0.16
core_pce,4.0 PERCENT OR MORE,25Q4_to_26Q4,1.35
core_pce,4.0 PERCENT OR MORE,26Q4_to_27Q4,1.32
core_pce,3.5 TO 3.9 PERCENT,25Q4_to_26Q4,3.92
core_pce,3.5 TO 3.9 PERCENT,26Q4_to_27Q4,4.17
core_pce,3.0 TO 3.4 PERCENT,25Q4_to_26Q4,16.71
core_pce,3.0 TO 3.4 PERCENT,26Q4_to_27Q4,11.02
core_pce,2.5 TO 2.9 PERCENT,25Q4_to_26Q4,36.91
core_pce,2.5 TO 2.9 PERCENT,26Q4_to_27Q4,28.51
core_pce,2.0 TO 2.4 PERCENT,25Q4_to_26Q4,31.96
core_pce,2.0 TO 2.4 PERCENT,26Q4_to_27Q4,37.78
core_pce,1.5 TO 1.9 PERCENT,25Q4_to_26Q4,8.12
core_pce,1.5 TO 1.9 PERCENT,26Q4_to_27Q4,13.02
core_pce,1.0 TO 1.4 PERCENT,25Q4_to_26Q4,0.98
core_pce,1.0 TO 1.4 PERCENT,26Q4_to_27Q4,3.02
core_pce,0.5 TO 0.9 PERCENT,25Q4_to_26Q4,0.01
core_pce,0.5 TO 0.9 PERCENT,26Q4_to_27Q4,0.88
core_pce,0.0 TO 0.4 PERCENT,25Q4_to_26Q4,0.00
core_pce,0.0 TO 0.4 PERCENT,26Q4_to_27Q4,0.16
core_pce,LESS THAN 0.0 PERCENT,25Q4_to_26Q4,0.04
core_pce,LESS THAN 0.0 PERCENT,26Q4_to_27Q4,0.13
